sample	experiment	type	growth_stage	stage_VR	cultivar	block	stage_develop	tissue	tissue_age	depth	tissue 2
T0a	pot	soil	start	start_soil		1	start_soil	soil		NA	soil
T0b	pot	soil	start	start_soil		2	start_soil	soil		NA	soil
T0c	pot	soil	start	start_soil		3	start_soil	soil		NA	soil
e1	pot	endo	VE.1	V	s	1	cotyl	Lat1	young	NA	lateral1
e10	pot	endo	VE.1	V	c	1	cotyl	t4	young	NA	t4
e100	pot	endo	VE.7	V	c	3	uni	Lat1	young	NA	lateral1
e101	pot	endo	VE.7	V	c	3	uni	subcrown	young	NA	subcrown
e102	pot	endo	VE.7	V	c	3	uni	below_subcrown	young	NA	tap2
e103	pot	endo	V1	V	s	1	tri	tip	young	NA	tip
e104	pot	endo	V1	V	s	1	tri	tap1	young	NA	subtip (taproot)
e105	pot	endo	V1	V	s	1	tri	adjtip	young	NA	subtip (lateral)
e106	pot	endo	V1	V	s	1	tri	Lat1	woody	NA	lateral1
e107	pot	endo	V1	V	s	1	tri	subcrown	woody	NA	subcrown
e108	pot	endo	V1	V	s	1	tri	below_subcrown	woody	NA	tap2
e11	pot	endo	VE.1	V	s	2	cotyl	Lat1	young	NA	lateral1
e110	pot	endo	V1	V	s	2	tri	tip	young	NA	tip
e111	pot	endo	V1	V	s	2	tri	tap1	young	NA	subtip (taproot)
e112	pot	endo	V1	V	s	2	tri	adjtip	young	NA	subtip (lateral)
e113	pot	endo	V1	V	s	2	tri	Lat1	woody	NA	lateral1
e114	pot	endo	V1	V	s	2	tri	subcrown	woody	NA	subcrown
e115	pot	endo	V1	V	s	2	tri	below_subcrown	woody	NA	tap2
e117	pot	endo	V1	V	s	3	tri	tip	young	NA	tip
e118	pot	endo	V1	V	s	3	tri	tap1	young	NA	subtip (taproot)
e119	pot	endo	V1	V	s	3	tri	adjtip	young	NA	subtip (lateral)
e12	pot	endo	VE.1	V	s	2	cotyl	t1	young	NA	t1
e120	pot	endo	V1	V	s	3	tri	Lat1	woody	NA	lateral1
e121	pot	endo	V1	V	s	3	tri	subcrown	woody	NA	subcrown
e122	pot	endo	V1	V	s	3	tri	below_subcrown	woody	NA	tap2
e124	pot	endo	V1	V	c	1	tri	tip	young	NA	tip
e125	pot	endo	V1	V	c	1	tri	tap1	young	NA	subtip (taproot)
e126	pot	endo	V1	V	c	1	tri	adjtip	young	NA	subtip (lateral)
e127	pot	endo	V1	V	c	1	tri	Lat1	woody	NA	lateral1
e128	pot	endo	V1	V	c	1	tri	subcrown	woody	NA	subcrown
e129	pot	endo	V1	V	c	1	tri	below_subcrown	woody	NA	tap2
e13	pot	endo	VE.1	V	s	2	cotyl	t2	young	NA	t2
e131	pot	endo	V1	V	c	2	tri	tip	young	NA	tip
e132	pot	endo	V1	V	c	2	tri	tap1	young	NA	subtip (taproot)
e133	pot	endo	V1	V	c	2	tri	adjtip	young	NA	subtip (lateral)
e134	pot	endo	V1	V	c	2	tri	Lat1	woody	NA	lateral1
e135	pot	endo	V1	V	c	2	tri	subcrown	woody	NA	subcrown
e136	pot	endo	V1	V	c	2	tri	below_subcrown	woody	NA	tap2
e138	pot	endo	V1	V	c	3	tri	tip	young	NA	tip
e139	pot	endo	V1	V	c	3	tri	tap1	young	NA	subtip (taproot)
e14	pot	endo	VE.1	V	s	2	cotyl	t3	young	NA	t3
e141	pot	endo	V1	V	c	3	tri	Lat1	woody	NA	lateral1
e142	pot	endo	V1	V	c	3	tri	subcrown	woody	NA	subcrown
e143	pot	endo	V1	V	c	3	tri	below_subcrown	woody	NA	tap2
e145	pot	endo	V3	V	s	1	tri	tip	young	NA	tip
e146	pot	endo	V3	V	s	1	tri	tap1	young	NA	subtip (taproot)
e147	pot	endo	V3	V	s	1	tri	adjtip	young	NA	subtip (lateral)
e148	pot	endo	V3	V	s	1	tri	Lat1	woody	NA	lateral1
e149	pot	endo	V3	V	s	1	tri	subcrown	woody	NA	subcrown
e15	pot	endo	VE.1	V	s	2	cotyl	t4	young	NA	t4
e150	pot	endo	V3	V	s	1	tri	below_subcrown	woody	NA	tap2
e152	pot	endo	V3	V	s	2	tri	tip	young	NA	tip
e153	pot	endo	V3	V	s	2	tri	tap1	young	NA	subtip (taproot)
e154	pot	endo	V3	V	s	2	tri	adjtip	young	NA	subtip (lateral)
e155	pot	endo	V3	V	s	2	tri	Lat1	woody	NA	lateral1
e156	pot	endo	V3	V	s	2	tri	subcrown	woody	NA	subcrown
e157	pot	endo	V3	V	s	2	tri	below_subcrown	woody	NA	tap2
e159	pot	endo	V3	V	s	3	tri	tip	young	NA	tip
e160	pot	endo	V3	V	s	3	tri	tap1	young	NA	subtip (taproot)
e161	pot	endo	V3	V	s	3	tri	adjtip	young	NA	subtip (lateral)
e162	pot	endo	V3	V	s	3	tri	Lat1	woody	NA	lateral1
e163	pot	endo	V3	V	s	3	tri	subcrown	woody	NA	subcrown
e164	pot	endo	V3	V	s	3	tri	below_subcrown	woody	NA	tap2
e166	pot	endo	V3	V	c	2	tri	tip	young	NA	tip
e167	pot	endo	V3	V	c	2	tri	tap1	young	NA	subtip (taproot)
e168	pot	endo	V3	V	c	2	tri	adjtip	young	NA	subtip (lateral)
e169	pot	endo	V3	V	c	2	tri	Lat1	woody	NA	lateral1
e17	pot	endo	VE.1	V	c	2	cotyl	t1	young	NA	t1
e171	pot	endo	V3	V	c	2	tri	below_subcrown	woody	NA	tap2
e173	pot	endo	V3	V	c	1	tri	tip	young	NA	tip
e174	pot	endo	V3	V	c	1	tri	tap1	young	NA	subtip (taproot)
e175	pot	endo	V3	V	c	1	tri	adjtip	young	NA	subtip (lateral)
e176	pot	endo	V3	V	c	1	tri	Lat1	woody	NA	lateral1
e177	pot	endo	V3	V	c	1	tri	subcrown	woody	NA	subcrown
e178	pot	endo	V3	V	c	1	tri	below_subcrown	woody	NA	tap2
e18	pot	endo	VE.1	V	c	2	cotyl	t2	young	NA	t2
e180	pot	endo	V3	V	c	3	tri	tip	young	NA	tip
e181	pot	endo	V3	V	c	3	tri	tap1	young	NA	subtip (taproot)
e182	pot	endo	V3	V	c	3	tri	adjtip	young	NA	subtip (lateral)
e183	pot	endo	V3	V	c	3	tri	Lat1	woody	NA	lateral1
e184	pot	endo	V3	V	c	3	tri	subcrown	woody	NA	subcrown
e185	pot	endo	V3	V	c	3	tri	below_subcrown	woody	NA	tap2
e19	pot	endo	VE.1	V	c	2	cotyl	t3	young	NA	t3
e194	pot	endo	V5	V	s	2	tri	tip	young	NA	tip
e195	pot	endo	V5	V	s	2	tri	tap1	young	NA	subtip (taproot)
e196	pot	endo	V5	V	s	2	tri	adjtip	young	NA	subtip (lateral)
e197	pot	endo	V5	V	s	2	tri	Lat1	woody	NA	lateral1
e198	pot	endo	V5	V	s	2	tri	subcrown	woody	NA	subcrown
e199	pot	endo	V5	V	s	2	tri	below_subcrown	woody	NA	tap2
e2	pot	endo	VE.1	V	s	1	cotyl	t1	young	NA	t1
e20	pot	endo	VE.1	V	c	2	cotyl	t4	young	NA	t4
e201	pot	endo	V5	V	c	2	tri	tip	young	NA	tip
e202	pot	endo	V5	V	c	2	tri	tap1	young	NA	subtip (taproot)
e203	pot	endo	V5	V	c	2	tri	adjtip	young	NA	subtip (lateral)
e204	pot	endo	V5	V	c	2	tri	Lat1	woody	NA	lateral1
e205	pot	endo	V5	V	c	2	tri	subcrown	woody	NA	subcrown
e208	pot	endo	V5	V	c	1	tri	tip	young	NA	tip
e209	pot	endo	V5	V	c	1	tri	tap1	young	NA	subtip (taproot)
e21	pot	endo	VE.1	V	s	3	cotyl	Lat1	young	NA	lateral1
e210	pot	endo	V5	V	c	1	tri	adjtip	young	NA	subtip (lateral)
e211	pot	endo	V5	V	c	1	tri	Lat1	woody	NA	lateral1
e212	pot	endo	V5	V	c	1	tri	subcrown	woody	NA	subcrown
e213	pot	endo	V5	V	c	1	tri	below_subcrown	woody	NA	tap2
e215	pot	endo	V5	V	s	1	tri	tip	young	NA	tip
e216	pot	endo	V5	V	s	1	tri	tap1	young	NA	subtip (taproot)
e217	pot	endo	V5	V	s	1	tri	adjtip	young	NA	subtip (lateral)
e218	pot	endo	V5	V	s	1	tri	Lat1	woody	NA	lateral1
e219	pot	endo	V5	V	s	1	tri	subcrown	woody	NA	subcrown
e22	pot	endo	VE.1	V	s	3	cotyl	t1	young	NA	t1
e220	pot	endo	V5	V	s	1	tri	below_subcrown	woody	NA	tap2
e222	pot	endo	V5	V	s	3	tri	tip	young	NA	tip
e223	pot	endo	V5	V	s	3	tri	tap1	young	NA	subtip (taproot)
e224	pot	endo	V5	V	s	3	tri	adjtip	young	NA	subtip (lateral)
e225	pot	endo	V5	V	s	3	tri	Lat1	woody	NA	lateral1
e226	pot	endo	V5	V	s	3	tri	subcrown	woody	NA	subcrown
e227	pot	endo	V5	V	s	3	tri	below_subcrown	woody	NA	tap2
e23	pot	endo	VE.1	V	s	3	cotyl	t2	young	NA	t2
e236	pot	endo	V5	V	c	3	tri	tip	young	NA	tip
e237	pot	endo	V5	V	c	3	tri	tap1	young	NA	subtip (taproot)
e238	pot	endo	V5	V	c	3	tri	adjtip	young	NA	subtip (lateral)
e239	pot	endo	V5	V	c	3	tri	Lat1	woody	NA	lateral1
e24	pot	endo	VE.1	V	s	3	cotyl	t3	young	NA	t3
e240	pot	endo	V5	V	c	3	tri	subcrown	woody	NA	subcrown
e241	pot	endo	V5	V	c	3	tri	below_subcrown	woody	NA	tap2
e243	pot	endo	R1	R	s	1	bloom	tip	young	NA	tip
e244	pot	endo	R1	R	s	1	bloom	tap1	young	NA	subtip (taproot)
e245	pot	endo	R1	R	s	1	bloom	adjtip	young	NA	subtip (lateral)
e246	pot	endo	R1	R	s	1	bloom	Lat1	woody	NA	lateral1
e247	pot	endo	R1	R	s	1	bloom	subcrown	woody	NA	subcrown
e248	pot	endo	R1	R	s	1	bloom	below_subcrown	woody	NA	tap2
e25	pot	endo	VE.1	V	s	3	cotyl	t4	young	NA	t4
e250	pot	endo	R1	R	s	1	bloom	ter	young	NA	tertiary
e251	pot	endo	R1	R	s	2	bloom	tip	young	NA	tip
e252	pot	endo	R1	R	s	2	bloom	tap1	young	NA	subtip (taproot)
e253	pot	endo	R1	R	s	2	bloom	adjtip	young	NA	subtip (lateral)
e254	pot	endo	R1	R	s	2	bloom	Lat1	woody	NA	lateral1
e255	pot	endo	R1	R	s	2	bloom	subcrown	woody	NA	subcrown
e256	pot	endo	R1	R	s	2	bloom	below_subcrown	woody	NA	tap2
e258	pot	endo	R1	R	s	2	bloom	ter	young	NA	ter
e259	pot	endo	R1	R	s	3	bloom	tip	young	NA	tip
e260	pot	endo	R1	R	s	3	bloom	tap1	young	NA	subtip (taproot)
e261	pot	endo	R1	R	s	3	bloom	adjtip	young	NA	subtip (lateral)
e262	pot	endo	R1	R	s	3	bloom	Lat1	woody	NA	lateral1
e263	pot	endo	R1	R	s	3	bloom	subcrown	woody	NA	subcrown
e264	pot	endo	R1	R	s	3	bloom	below_subcrown	woody	NA	tap2
e266	pot	endo	R1	R	s	3	bloom	ter	young	NA	tertiary
e267	pot	endo	R2	R	s	3	adv_bloom	tip	young	NA	tip
e268	pot	endo	R2	R	s	3	adv_bloom	tap1	young	NA	subtip (taproot)
e269	pot	endo	R2	R	s	3	adv_bloom	adjtip	young	NA	subtip (lateral)
e27	pot	endo	VE.1	V	c	3	cotyl	t1	young	NA	t1
e270	pot	endo	R2	R	s	3	adv_bloom	Lat1	woody	NA	lateral1
e271	pot	endo	R2	R	s	3	adv_bloom	subcrown	woody	NA	subcrown
e272	pot	endo	R2	R	s	3	adv_bloom	below_subcrown	woody	NA	tap2
e274	pot	endo	R2	R	s	3	adv_bloom	ter	young	NA	tertiary
e275	pot	endo	R2	R	s	1	adv_bloom	tip	young	NA	tip
e276	pot	endo	R2	R	s	1	adv_bloom	tap1	young	NA	subtip (taproot)
e277	pot	endo	R2	R	s	1	adv_bloom	adjtip	young	NA	subtip (lateral)
e278	pot	endo	R2	R	s	1	adv_bloom	Lat1	woody	NA	lateral1
e279	pot	endo	R2	R	s	1	adv_bloom	subcrown	woody	NA	subcrown
e28	pot	endo	VE.1	V	c	3	cotyl	t2	young	NA	t2
e280	pot	endo	R2	R	s	1	adv_bloom	below_subcrown	woody	NA	tap2
e282	pot	endo	R2	R	s	1	adv_bloom	ter	young	NA	tertiary
e283	pot	endo	R2	R	s	2	adv_bloom	tip	young	NA	tip
e284	pot	endo	R2	R	s	2	adv_bloom	tap1	young	NA	subtip (taproot)
e285	pot	endo	R2	R	s	2	adv_bloom	adjtip	young	NA	subtip (lateral)
e286	pot	endo	R2	R	s	2	adv_bloom	Lat1	woody	NA	lateral1
e287	pot	endo	R2	R	s	2	adv_bloom	subcrown	woody	NA	subcrown
e288	pot	endo	R2	R	s	2	adv_bloom	below_subcrown	woody	NA	tap2
e29	pot	endo	VE.1	V	c	3	cotyl	t3	young	NA	t3
e290	pot	endo	R2	R	s	2	adv_bloom	ter	young	NA	tertiary
e3	pot	endo	VE.1	V	s	1	cotyl	t2	young	NA	t2
e30	pot	endo	VE.1	V	c	3	cotyl	t4	young	NA	t4
e300	pot	endo	R3	R	s	1	pod	tip	young	NA	tip
e301	pot	endo	R3	R	s	1	pod	tap1	young	NA	subtip (taproot)
e302	pot	endo	R3	R	s	1	pod	adjtip	young	NA	subtip (lateral)
e303	pot	endo	R3	R	s	1	pod	Lat1	woody	NA	lateral1
e304	pot	endo	R3	R	s	1	pod	subcrown	woody	NA	subcrown
e305	pot	endo	R3	R	s	1	pod	below_subcrown	woody	NA	tap2
e308	pot	endo	R3	R	s	1	pod	ter	young	NA	tertiary
e31	pot	endo	VE.4	V	s	1	post-cotyl	tip	young	NA	tip
e32	pot	endo	VE.4	V	s	1	post-cotyl	tap1	young	NA	subtip (taproot)
e327	pot	endo	R3	R	s	2	pod	tip	young	NA	tip
e328	pot	endo	R3	R	s	2	pod	tap1	young	NA	subtip (taproot)
e329	pot	endo	R3	R	s	2	pod	adjtip	young	NA	subtip (lateral)
e33	pot	endo	VE.4	V	s	1	post-cotyl	adjtip	young	NA	subtip (lateral)
e330	pot	endo	R3	R	s	2	pod	Lat1	woody	NA	lateral1
e331	pot	endo	R3	R	s	2	pod	subcrown	woody	NA	subcrown
e332	pot	endo	R3	R	s	2	pod	below_subcrown	woody	NA	tap2
e335	pot	endo	R3	R	s	2	pod	ter	young	NA	tertiary
e336	pot	endo	R3	R	s	3	pod	tip	young	NA	tip
e337	pot	endo	R3	R	s	3	pod	tap1	young	NA	subtip (taproot)
e338	pot	endo	R3	R	s	3	pod	adjtip	young	NA	subtip (lateral)
e339	pot	endo	R3	R	s	3	pod	Lat1	woody	NA	lateral1
e34	pot	endo	VE.4	V	s	1	post-cotyl	Lat1	young	NA	lateral1
e340	pot	endo	R3	R	s	3	pod	subcrown	woody	NA	subcrown
e341	pot	endo	R3	R	s	3	pod	below_subcrown	woody	NA	tap2
e344	pot	endo	R3	R	s	3	pod	ter	young	NA	tertiary
e35	pot	endo	VE.4	V	s	1	post-cotyl	subcrown	young	NA	subcrown
e36	pot	endo	VE.4	V	s	1	post-cotyl	below_subcrown	young	NA	tap2
e363	pot	endo	R1	R	c	3	bloom	tip	young	NA	tip
e364	pot	endo	R1	R	c	3	bloom	tap1	young	NA	subtip (taproot)
e365	pot	endo	R1	R	c	3	bloom	adjtip	young	NA	subtip (lateral)
e367	pot	endo	R1	R	c	3	bloom	subcrown	woody	NA	subcrown
e368	pot	endo	R1	R	c	3	bloom	below_subcrown	woody	NA	tap2
e37	pot	endo	VE.4	V	c	1	post-cotyl	tip	young	NA	tip
e371	pot	endo	R1	R	c	3	bloom	ter	young	NA	tertiary
e372	pot	endo	R1	R	c	1	bloom	tip	young	NA	tip
e373	pot	endo	R1	R	c	1	bloom	tap1	young	NA	subtip (taproot)
e374	pot	endo	R1	R	c	1	bloom	adjtip	young	NA	subtip (lateral)
e375	pot	endo	R1	R	c	1	bloom	Lat1	woody	NA	lateral1
e376	pot	endo	R1	R	c	1	bloom	subcrown	woody	NA	subcrown
e377	pot	endo	R1	R	c	1	bloom	below_subcrown	woody	NA	tap2
e38	pot	endo	VE.4	V	c	1	post-cotyl	tap1	young	NA	subtip (taproot)
e380	pot	endo	R1	R	c	1	bloom	ter	young	NA	tertiary
e381	pot	endo	R1	R	c	2	bloom	tip	young	NA	tip
e382	pot	endo	R1	R	c	2	bloom	tap1	young	NA	subtip (taproot)
e383	pot	endo	R1	R	c	2	bloom	adjtip	young	NA	subtip (lateral)
e384	pot	endo	R1	R	c	2	bloom	Lat1	woody	NA	lateral1
e385	pot	endo	R1	R	c	2	bloom	subcrown	woody	NA	subcrown
e386	pot	endo	R1	R	c	2	bloom	below_subcrown	woody	NA	tap2
e389	pot	endo	R1	R	c	2	bloom	ter	young	NA	tertiary
e39	pot	endo	VE.4	V	c	1	post-cotyl	adjtip	young	NA	subtip (lateral)
e390	pot	endo	R3	R	c	3	pod	tip	young	NA	tip
e391	pot	endo	R3	R	c	3	pod	tap1	young	NA	subtip (taproot)
e392	pot	endo	R3	R	c	3	pod	adjtip	young	NA	subtip (lateral)
e393	pot	endo	R3	R	c	3	pod	Lat1	woody	NA	lateral1
e394	pot	endo	R3	R	c	3	pod	subcrown	woody	NA	subcrown
e395	pot	endo	R3	R	c	3	pod	below_subcrown	woody	NA	tap2
e398	pot	endo	R3	R	c	3	pod	ter	young	NA	tertiary
e399	pot	endo	R3	R	c	1	pod	tip	young	NA	tip
e4	pot	endo	VE.1	V	s	1	cotyl	t3	young	NA	t3
e40	pot	endo	VE.4	V	c	1	post-cotyl	Lat1	young	NA	lateral1
e400	pot	endo	R3	R	c	1	pod	tap1	young	NA	subtip (taproot)
e401	pot	endo	R3	R	c	1	pod	adjtip	young	NA	subtip (lateral)
e402	pot	endo	R3	R	c	1	pod	Lat1	woody	NA	lateral1
e403	pot	endo	R3	R	c	1	pod	subcrown	woody	NA	subcrown
e404	pot	endo	R3	R	c	1	pod	below_subcrown	woody	NA	tap2
e407	pot	endo	R3	R	c	1	pod	ter	young	NA	tertiary
e41	pot	endo	VE.4	V	c	1	post-cotyl	subcrown	young	NA	subcrown
e42	pot	endo	VE.4	V	c	1	post-cotyl	below_subcrown	young	NA	tap2
e426	pot	endo	R3	R	c	2	pod	tip	young	NA	tip
e427	pot	endo	R3	R	c	2	pod	tap1	young	NA	subtip (taproot)
e428	pot	endo	R3	R	c	2	pod	adjtip	young	NA	subtip (lateral)
e429	pot	endo	R3	R	c	2	pod	Lat1	woody	NA	lateral1
e43	pot	endo	VE.4	V	s	2	post-cotyl	tip	young	NA	tip
e430	pot	endo	R3	R	c	2	pod	subcrown	woody	NA	subcrown
e431	pot	endo	R3	R	c	2	pod	below_subcrown	woody	NA	tap2
e434	pot	endo	R3	R	c	2	pod	ter	young	NA	tertiary
e436	field	endo	V2	V	s	1	tri	adjtip	young	NA	subtip (lateral)
e438	field	endo	V2	V	s	1	tri	Lat1	woody	NA	lateral1
e439	field	endo	V2	V	s	1	tri	subcrown	woody	NA	subcrown
e44	pot	endo	VE.4	V	s	2	post-cotyl	tap1	young	NA	subtip (taproot)
e440	field	endo	V2	V	s	1	tri	below_subcrown	woody	NA	tap2
e441	field	endo	V2	V	s	1	tri	tap4	woody	NA	tap7
e442	field	endo	V2	V	s	1	tri	tap5	woody	NA	tap13
e443	field	endo	V2	V	s	2	tri	tip	young	NA	tip
e444	field	endo	V2	V	s	2	tri	adjtip	young	NA	subtip (lateral)
e446	field	endo	V2	V	s	2	tri	Lat1	woody	NA	lateral1
e447	field	endo	V2	V	s	2	tri	subcrown	woody	NA	subcrown
e448	field	endo	V2	V	s	2	tri	below_subcrown	woody	NA	tap2
e449	field	endo	V2	V	s	2	tri	tap4	woody	NA	tap7
e45	pot	endo	VE.4	V	s	2	post-cotyl	adjtip	young	NA	subtip (lateral)
e450	field	endo	V2	V	s	2	tri	tap5	woody	NA	tap13
e451	field	endo	V2	V	s	3	tri	tip	young	NA	tip
e452	field	endo	V2	V	s	3	tri	adjtip	young	NA	subtip (lateral)
e454	field	endo	V2	V	s	3	tri	Lat1	woody	NA	lateral1
e455	field	endo	V2	V	s	3	tri	subcrown	woody	NA	subcrown
e456	field	endo	V2	V	s	3	tri	below_subcrown	woody	NA	tap2
e457	field	endo	V2	V	s	3	tri	tap4	woody	NA	tap7
e459	field	endo	V2	V	c	1	tri	adjtip	young	NA	subtip (lateral)
e46	pot	endo	VE.4	V	s	2	post-cotyl	Lat1	young	NA	lateral1
e461	field	endo	V2	V	c	1	tri	Lat1	woody	NA	lateral1
e462	field	endo	V2	V	c	1	tri	subcrown	woody	NA	subcrown
e463	field	endo	V2	V	c	1	tri	below_subcrown	woody	NA	tap2
e464	field	endo	V2	V	c	1	tri	tap4	woody	NA	tap7
e465	field	endo	V2	V	c	1	tri	tap5	woody	NA	tap13
e466	field	endo	V2	V	c	2	tri	tip	young	NA	tip
e467	field	endo	V2	V	c	2	tri	adjtip	young	NA	subtip (lateral)
e469	field	endo	V2	V	c	2	tri	Lat1	woody	NA	lateral1
e47	pot	endo	VE.4	V	s	2	post-cotyl	subcrown	young	NA	subcrown
e470	field	endo	V2	V	c	2	tri	subcrown	woody	NA	subcrown
e471	field	endo	V2	V	c	2	tri	below_subcrown	woody	NA	tap2
e472	field	endo	V2	V	c	2	tri	tap4	woody	NA	tap7
e473	field	endo	V2	V	c	2	tri	tap5	woody	NA	tap13
e474	field	endo	V2	V	c	3	tri	tip	young	NA	tip
e475	field	endo	V2	V	c	3	tri	adjtip	young	NA	subtip (lateral)
e477	field	endo	V2	V	c	3	tri	Lat1	woody	NA	lateral1
e478	field	endo	V2	V	c	3	tri	subcrown	woody	NA	subcrown
e479	field	endo	V2	V	c	3	tri	below_subcrown	woody	NA	tap2
e48	pot	endo	VE.4	V	s	2	post-cotyl	below_subcrown	young	NA	tap2
e480	field	endo	V2	V	c	3	tri	tap4	woody	NA	tap7
e481	field	endo	V2	V	c	3	tri	tap5	woody	NA	tap13
e482	field	endo	R4	R	s	1	pod	tip	young	NA	tip
e483	field	endo	R4	R	s	1	pod	adjtip	young	NA	subtip (lateral)
e484	field	endo	R4	R	s	1	pod	ter	young	NA	tertiary
e486	field	endo	R4	R	s	1	pod	Lat1	woody	NA	lateral1
e487	field	endo	R4	R	s	1	pod	Lat2	woody	NA	lateral7
e488	field	endo	R4	R	s	1	pod	Lat3	woody	NA	lateral13
e49	pot	endo	VE.4	V	c	2	post-cotyl	tip	young	NA	tip
e492	field	endo	R4	R	s	1	pod	subcrown	woody	NA	subcrown
e493	field	endo	R4	R	s	1	pod	below_subcrown	woody	NA	tap2
e494	field	endo	R4	R	s	1	pod	tap4	woody	NA	tap7
e495	field	endo	R4	R	s	1	pod	tap5	woody	NA	tap13
e496	field	endo	R4	R	s	1	pod	tap6	woody	NA	tap19
e497	field	endo	R4	R	s	2	pod	tip	young	NA	tip
e498	field	endo	R4	R	s	2	pod	adjtip	young	NA	subtip (lateral)
e499	field	endo	R4	R	s	2	pod	ter	young	NA	tertiary
e5	pot	endo	VE.1	V	s	1	cotyl	t4	young	NA	t4
e501	field	endo	R4	R	s	2	pod	Lat1	woody	NA	lateral1
e502	field	endo	R4	R	s	2	pod	Lat2	woody	NA	lateral7
e503	field	endo	R4	R	s	2	pod	Lat3	woody	NA	lateral13
e507	field	endo	R4	R	s	2	pod	subcrown	woody	NA	subcrown
e508	field	endo	R4	R	s	2	pod	below_subcrown	woody	NA	tap2
e509	field	endo	R4	R	s	2	pod	tap4	woody	NA	tap7
e51	pot	endo	VE.4	V	c	2	post-cotyl	adjtip	young	NA	subtip (lateral)
e510	field	endo	R4	R	s	2	pod	tap5	woody	NA	tap13
e511	field	endo	R4	R	s	2	pod	tap6	woody	NA	tap19
e512	field	endo	R4	R	s	3	pod	tip	young	NA	tip
e513	field	endo	R4	R	s	3	pod	adjtip	young	NA	subtip (lateral)
e514b	field	endo	R4	R	s	3	pod	ter	young	NA	tertiary
e516	field	endo	R4	R	s	3	pod	Lat1	woody	NA	lateral1
e517	field	endo	R4	R	s	3	pod	Lat2	woody	NA	lateral7
e518	field	endo	R4	R	s	3	pod	Lat3	woody	NA	lateral13
e52	pot	endo	VE.4	V	c	2	post-cotyl	Lat1	young	NA	lateral1
e522	field	endo	R4	R	s	3	pod	subcrown	woody	NA	subcrown
e523	field	endo	R4	R	s	3	pod	below_subcrown	woody	NA	tap2
e524	field	endo	R4	R	s	3	pod	tap4	woody	NA	tap7
e525	field	endo	R4	R	s	3	pod	tap5	woody	NA	tap13
e526	field	endo	R4	R	s	3	pod	tap6	woody	NA	tap19
e527	field	endo	R2	R	c	1	adv_bloom	tip	young	NA	tip
e528	field	endo	R2	R	c	1	adv_bloom	adjtip	young	NA	subtip (lateral)
e529	field	endo	R2	R	c	1	adv_bloom	ter	young	NA	tertiary
e53	pot	endo	VE.4	V	c	2	post-cotyl	subcrown	young	NA	subcrown
e531	field	endo	R2	R	c	1	adv_bloom	Lat1	woody	NA	lateral1
e532	field	endo	R2	R	c	1	adv_bloom	Lat2	woody	NA	lateral7
e533	field	endo	R2	R	c	1	adv_bloom	Lat3	woody	NA	lateral13
e537	field	endo	R2	R	c	1	adv_bloom	subcrown	woody	NA	subcrown
e538	field	endo	R2	R	c	1	adv_bloom	below_subcrown	woody	NA	tap2
e539	field	endo	R2	R	c	1	adv_bloom	tap4	woody	NA	tap7
e54	pot	endo	VE.4	V	c	2	post-cotyl	below_subcrown	young	NA	tap2
e540	field	endo	R2	R	c	1	adv_bloom	tap5	woody	NA	tap13
e541	field	endo	R2	R	c	1	adv_bloom	tap6	woody	NA	tap19
e542	field	endo	R2	R	c	2	adv_bloom	tip	young	NA	tip
e543	field	endo	R2	R	c	2	adv_bloom	adjtip	young	NA	subtip (lateral)
e544	field	endo	R2	R	c	2	adv_bloom	ter	young	NA	tertiary
e546	field	endo	R2	R	c	2	adv_bloom	Lat1	woody	NA	lateral1
e547	field	endo	R2	R	c	2	adv_bloom	Lat2	woody	NA	lateral7
e548	field	endo	R2	R	c	2	adv_bloom	Lat3	woody	NA	lateral13
e55	pot	endo	VE.4	V	s	3	post-cotyl	tip	young	NA	tip
e552	field	endo	R2	R	c	2	adv_bloom	subcrown	woody	NA	subcrown
e553	field	endo	R2	R	c	2	adv_bloom	below_subcrown	woody	NA	tap2
e554	field	endo	R2	R	c	2	adv_bloom	tap4	woody	NA	tap7
e555	field	endo	R2	R	c	2	adv_bloom	tap5	woody	NA	tap13
e559	field	endo	R2	R	c	3	adv_bloom	tip	young	NA	tip
e56	pot	endo	VE.4	V	s	3	post-cotyl	tap1	young	NA	subtip (taproot)
e560	field	endo	R2	R	c	3	adv_bloom	adjtip	young	NA	subtip (lateral)
e561	field	endo	R2	R	c	3	adv_bloom	ter	young	NA	tertiary
e563	field	endo	R2	R	c	3	adv_bloom	Lat1	woody	NA	lateral1
e564	field	endo	R2	R	c	3	adv_bloom	Lat2	woody	NA	lateral7
e565	field	endo	R2	R	c	3	adv_bloom	Lat3	woody	NA	lateral13
e57	pot	endo	VE.4	V	s	3	post-cotyl	adjtip	young	NA	subtip (lateral)
e570	field	endo	R2	R	c	3	adv_bloom	below_subcrown	woody	NA	tap2
e571	field	endo	R2	R	c	3	adv_bloom	tap4	woody	NA	tap7
e572	field	endo	R2	R	c	3	adv_bloom	tap5	woody	NA	tap13
e573	field	endo	R2	R	c	3	adv_bloom	tap6	woody	NA	tap19
e58	pot	endo	VE.4	V	s	3	post-cotyl	Lat1	young	NA	lateral1
e59	pot	endo	VE.4	V	s	3	post-cotyl	subcrown	young	NA	subcrown
e60	pot	endo	VE.4	V	s	3	post-cotyl	below_subcrown	young	NA	tap2
