sample	experiment	type	growth_stage	stage_VR	cultivar	block	stage_develop	tissue	tissue_age	depth	tissue 2
R161a	pot	rhizo	V3	V	s	3	tri	adjtip	young	NA	subtip (lateral)
R162	pot	rhizo	V3	V	s	3	tri	Lat1	woody	NA	lateral1
R163	pot	rhizo	V3	V	s	3	tri	subcrown	woody	NA	subcrown
R164	pot	rhizo	V3	V	s	3	tri	below_subcrown	woody	NA	tap2
R165	pot	rhizo	V3	V	s	3	tri	nod	nod	NA	nodule
R166	pot	rhizo	V3	V	c	2	tri	tip	young	NA	tip
R167	pot	rhizo	V3	V	c	2	tri	tap1	young	NA	subtip (taproot)
R168	pot	rhizo	V3	V	c	2	tri	adjtip	young	NA	subtip (lateral)
R169	pot	rhizo	V3	V	c	2	tri	Lat1	woody	NA	lateral1
R17	pot	rhizo	VE.1	V	c	2	cotyl	t1	young	NA	t1
R170	pot	rhizo	V3	V	c	2	tri	subcrown	woody	NA	subcrown
R171	pot	rhizo	V3	V	c	2	tri	below_subcrown	woody	NA	tap2
R172	pot	rhizo	V3	V	c	2	tri	nod	nod	NA	nodule
R173	pot	rhizo	V3	V	c	1	tri	tip	young	NA	tip
R174	pot	rhizo	V3	V	c	1	tri	tap1	young	NA	subtip (taproot)
R175	pot	rhizo	V3	V	c	1	tri	adjtip	young	NA	subtip (lateral)
R176	pot	rhizo	V3	V	c	1	tri	Lat1	woody	NA	lateral1
R177	pot	rhizo	V3	V	c	1	tri	subcrown	woody	NA	subcrown
R178	pot	rhizo	V3	V	c	1	tri	below_subcrown	woody	NA	tap2
R179	pot	rhizo	V3	V	c	1	tri	nod	nod	NA	nodule
R18	pot	rhizo	VE.1	V	c	2	cotyl	t2	young	NA	t2
R180	pot	rhizo	V3	V	c	3	tri	tip	young	NA	tip
R181	pot	rhizo	V3	V	c	3	tri	tap1	young	NA	subtip (taproot)
R182	pot	rhizo	V3	V	c	3	tri	adjtip	young	NA	subtip (lateral)
R183	pot	rhizo	V3	V	c	3	tri	Lat1	woody	NA	lateral1
R184	pot	rhizo	V3	V	c	3	tri	subcrown	woody	NA	subcrown
R185	pot	rhizo	V3	V	c	3	tri	below_subcrown	woody	NA	tap2
R186	pot	rhizo	V3	V	c	3	tri	nod	nod	NA	nodule
R19	pot	rhizo	VE.1	V	c	2	cotyl	t3	young	NA	t3
R194	pot	rhizo	V5	V	s	2	tri	tip	young	NA	tip
R195	pot	rhizo	V5	V	s	2	tri	tap1	young	NA	subtip (taproot)
R196	pot	rhizo	V5	V	s	2	tri	adjtip	young	NA	subtip (lateral)
R197	pot	rhizo	V5	V	s	2	tri	Lat1	woody	NA	lateral1
R198	pot	rhizo	V5	V	s	2	tri	subcrown	woody	NA	subcrown
R199	pot	rhizo	V5	V	s	2	tri	below_subcrown	woody	NA	tap2
R2	pot	rhizo	VE.1	V	s	1	cotyl	t1	young	NA	t1
R20	pot	rhizo	VE.1	V	c	2	cotyl	t4	young	NA	t4
R200	pot	rhizo	V5	V	s	2	tri	nod	nod	NA	nodule
R201	pot	rhizo	V5	V	c	2	tri	tip	young	NA	tip
R202	pot	rhizo	V5	V	c	2	tri	tap1	young	NA	subtip (taproot)
R203	pot	rhizo	V5	V	c	2	tri	adjtip	young	NA	subtip (lateral)
R204	pot	rhizo	V5	V	c	2	tri	Lat1	woody	NA	lateral1
R205	pot	rhizo	V5	V	c	2	tri	subcrown	woody	NA	subcrown
R206	pot	rhizo	V5	V	c	2	tri	below_subcrown	woody	NA	tap2
R207	pot	rhizo	V5	V	c	2	tri	nod	nod	NA	nodule
R208	pot	rhizo	V5	V	c	1	tri	tip	young	NA	tip
R209	pot	rhizo	V5	V	c	1	tri	tap1	young	NA	subtip (taproot)
R21	pot	rhizo	VE.1	V	s	3	cotyl	Lat1	young	NA	lateral1
R210	pot	rhizo	V5	V	c	1	tri	adjtip	young	NA	subtip (lateral)
R211	pot	rhizo	V5	V	c	1	tri	Lat1	woody	NA	lateral1
R212	pot	rhizo	V5	V	c	1	tri	subcrown	woody	NA	subcrown
R213	pot	rhizo	V5	V	c	1	tri	below_subcrown	woody	NA	tap2
R214	pot	rhizo	V5	V	c	1	tri	nod	nod	NA	nodule
R215	pot	rhizo	V5	V	s	1	tri	tip	young	NA	tip
R216	pot	rhizo	V5	V	s	1	tri	tap1	young	NA	subtip (taproot)
R217	pot	rhizo	V5	V	s	1	tri	adjtip	young	NA	subtip (lateral)
R218	pot	rhizo	V5	V	s	1	tri	Lat1	woody	NA	lateral1
R219	pot	rhizo	V5	V	s	1	tri	subcrown	woody	NA	subcrown
R22	pot	rhizo	VE.1	V	s	3	cotyl	t1	young	NA	t1
R220	pot	rhizo	V5	V	s	1	tri	below_subcrown	woody	NA	tap2
R221	pot	rhizo	V5	V	s	1	tri	nod	nod	NA	nodule
R222	pot	rhizo	V5	V	s	3	tri	tip	young	NA	tip
R223	pot	rhizo	V5	V	s	3	tri	tap1	young	NA	subtip (taproot)
R224	pot	rhizo	V5	V	s	3	tri	adjtip	young	NA	subtip (lateral)
R225	pot	rhizo	V5	V	s	3	tri	Lat1	woody	NA	lateral1
R226	pot	rhizo	V5	V	s	3	tri	subcrown	woody	NA	subcrown
R227	pot	rhizo	V5	V	s	3	tri	below_subcrown	woody	NA	tap2
R228	pot	rhizo	V5	V	s	3	tri	nod	nod	NA	nodule
R23	pot	rhizo	VE.1	V	s	3	cotyl	t2	young	NA	t2
R236	pot	rhizo	V5	V	c	3	tri	tip	young	NA	tip
R237	pot	rhizo	V5	V	c	3	tri	tap1	young	NA	subtip (taproot)
R238	pot	rhizo	V5	V	c	3	tri	adjtip	young	NA	subtip (lateral)
R239	pot	rhizo	V5	V	c	3	tri	Lat1	woody	NA	lateral1
